66 (3021)
44 (2612)
34 (3040)
56 (3021)
46 (2556)
58 (3195)
36 (3099)
25 (2860)
48 (3013)
17 (2500)
29 (3181)
3 (2839)
5 (2971)
7 (3076)
9 (2874)
60 (3149)
40 (3170)
62 (3060)
52 (3185)
42 (2714)
64 (2631)
31 (2526)
25 29 34 52 56 (2560)
36 42 48 52 58 (2532)
3 7 29 40 56 (2605)
3 29 36 52 66 (2601)
5 34 58 60 62 (2734)
5 7 34 58 62 (2672)
5 34 58 60 66 (2752)
5 7 34 58 60 (2737)
3 29 34 40 52 (2676)
5 52 60 62 66 (2714)
3 7 29 40 58 (2739)
9 52 58 60 66 (2706)
5 40 48 58 62 (2663)
3 29 34 40 66 (2563)
5 40 48 58 60 (2740)
9 52 58 60 62 (2703)
25 29 34 40 66 (2560)
5 7 36 56 58 (2611)
29 40 44 52 58 (2559)
29 34 40 48 56 (2674)
5 40 48 58 66 (2663)
29 34 40 48 52 (2821)
29 34 42 58 60 (2573)
29 48 56 62 66 (2599)
3 29 36 52 56 (2607)
29 34 36 60 62 (2768)
3 7 29 40 66 (2606)
3 29 34 40 60 (2650)
3 29 34 40 62 (2588)
29 34 36 60 66 (2785)
3 29 36 52 58 (2737)
36 42 48 52 60 (2519)
29 48 58 62 66 (2736)
25 29 34 40 58 (2684)
25 29 34 40 56 (2541)
40 52 56 60 62 (2858)
3 29 36 40 56 (2586)
3 29 36 40 58 (2720)
3 7 29 52 66 (2621)
40 52 56 60 66 (2818)
3 29 34 52 58 (2699)
3 29 36 40 52 (2711)
3 29 34 52 56 (2584)
29 34 42 58 66 (2502)
29 40 44 52 60 (2516)
7 36 42 52 58 (2508)
7 29 40 62 66 (2758)
7 29 56 58 66 (2744)
7 29 56 58 60 (2866)
7 29 56 58 62 (2814)
29 40 46 52 58 (2505)
25 29 34 40 62 (2582)
25 29 34 40 60 (2658)
7 56 60 62 66 (2658)
25 29 34 40 48 (2574)
25 40 58 60 66 (2690)
25 29 48 58 60 (2718)
3 7 29 52 58 (2756)
25 34 36 48 58 (2581)
25 29 48 58 62 (2615)
3 7 29 52 56 (2626)
29 40 48 62 66 (2721)
25 29 48 58 66 (2612)
3 29 34 52 66 (2577)
3 29 36 40 66 (2586)
3 7 29 52 60 (2722)
29 34 48 56 62 (2604)
3 29 36 40 60 (2687)
36 48 60 62 66 (2718)
3 29 36 40 62 (2616)
3 29 34 52 62 (2593)
3 29 34 52 60 (2665)
3 7 29 52 62 (2641)
25 34 36 48 60 (2564)
29 34 48 56 60 (2672)
25 29 34 40 52 (2677)
5 48 56 58 66 (2515)
29 34 48 56 66 (2578)
5 48 56 58 62 (2539)
25 40 58 60 62 (2696)
5 48 56 58 60 (2592)
29 40 42 52 62 (2570)
29 40 42 52 66 (2582)
29 34 58 62 66 (2762)
29 40 42 52 60 (2655)
36 52 56 58 66 (2743)
7 9 29 52 60 (2710)
7 9 29 52 62 (2623)
5 7 34 40 60 (2720)
9 29 36 40 48 (2635)
36 52 56 58 62 (2821)
5 7 34 40 62 (2661)
5 48 56 60 62 (2513)
40 48 58 60 62 (2836)
9 36 40 56 58 (2632)
5 7 34 40 66 (2630)
5 48 56 60 66 (2516)
5 29 36 40 48 (2734)
7 9 29 52 66 (2593)
34 40 48 58 62 (2718)
7 9 29 40 60 (2696)
34 40 48 58 60 (2809)
7 36 52 62 66 (2669)
7 9 29 40 62 (2619)
34 40 48 58 66 (2716)
3 5 29 34 60 (2538)
9 36 60 62 66 (2500)
9 36 40 56 60 (2594)
40 48 58 60 66 (2848)
3 29 36 40 48 (2620)
7 34 52 56 58 (2784)
7 9 29 40 66 (2580)
9 36 40 56 62 (2548)
3 7 40 62 66 (2503)
5 7 34 40 52 (2755)
7 40 52 60 62 (2870)
5 7 34 40 56 (2627)
7 40 52 60 66 (2871)
5 7 34 40 58 (2763)
9 36 48 60 62 (2522)
3 5 29 34 58 (2572)
7 36 48 60 62 (2707)
3 5 29 58 62 (2546)
7 36 48 60 66 (2732)
3 5 29 58 66 (2530)
3 5 29 34 52 (2565)
7 9 29 40 56 (2629)
7 34 52 56 66 (2632)
7 9 29 40 58 (2732)
3 5 29 58 60 (2605)
7 9 29 40 52 (2725)
29 42 48 52 60 (2534)
25 52 56 58 66 (2547)
7 34 52 56 60 (2740)
25 52 56 58 62 (2605)
3 36 48 60 66 (2537)
7 34 52 56 62 (2692)
5 34 40 48 58 (2686)
3 36 48 60 62 (2510)
5 34 40 48 56 (2534)
5 7 34 40 48 (2581)
5 34 40 48 52 (2678)
7 25 34 52 58 (2594)
9 34 36 56 60 (2503)
36 40 56 58 60 (2852)
29 40 42 52 58 (2678)
3 5 29 34 40 (2553)
29 40 42 52 56 (2537)
3 5 36 52 58 (2537)
29 56 60 62 66 (2747)
25 52 56 58 60 (2664)
7 9 29 40 48 (2550)
5 34 40 48 60 (2663)
25 29 56 58 66 (2543)
40 42 52 56 60 (2523)
25 29 34 52 66 (2573)
40 52 56 58 60 (2944)
7 25 34 52 60 (2567)
5 34 36 56 60 (2594)
40 52 56 58 62 (2904)
25 36 48 58 66 (2601)
5 34 36 56 62 (2559)
5 34 40 48 66 (2587)
25 29 56 58 60 (2656)
40 52 56 58 66 (2817)
25 29 56 58 62 (2597)
5 34 36 56 66 (2503)
3 5 36 52 60 (2503)
5 34 40 48 62 (2584)
25 36 48 58 60 (2711)
7 9 34 58 60 (2606)
7 9 34 58 62 (2528)
29 48 58 60 62 (2838)
5 29 52 62 66 (2710)
9 29 52 62 66 (2585)
25 36 48 58 62 (2608)
7 9 34 58 66 (2501)
29 48 58 60 66 (2864)
29 40 56 58 66 (2814)
34 56 60 62 66 (2644)
29 34 40 52 56 (2852)
29 34 40 52 58 (3003)
29 40 56 58 60 (2936)
25 29 48 56 60 (2556)
29 40 56 58 62 (2894)
25 29 48 56 58 (2573)
29 40 48 58 60 (2947)
25 48 58 60 66 (2620)
29 42 48 52 58 (2545)
7 34 36 58 66 (2679)
25 48 58 60 62 (2610)
29 40 48 58 62 (2847)
7 48 52 62 66 (2618)
7 34 36 58 62 (2706)
29 34 40 52 60 (2960)
29 40 48 58 66 (2840)
7 34 36 58 60 (2787)
7 34 40 58 62 (2791)
9 34 40 58 66 (2590)
7 34 40 58 60 (2862)
7 34 40 58 66 (2755)
5 7 9 34 40 (2501)
5 29 36 60 66 (2731)
3 29 36 60 62 (2598)
25 34 40 52 62 (2578)
5 29 36 60 62 (2711)
3 29 36 60 66 (2610)
25 34 40 52 60 (2654)
25 34 40 52 58 (2680)
7 25 52 56 62 (2506)
5 48 60 62 66 (2577)
3 36 40 56 60 (2553)
3 5 36 40 58 (2525)
25 34 40 52 56 (2541)
3 36 40 56 62 (2520)
40 58 60 62 66 (2877)
7 25 52 56 60 (2566)
25 40 56 58 66 (2528)
9 34 40 58 60 (2695)
9 34 40 58 62 (2627)
25 40 56 58 62 (2595)
7 25 36 58 66 (2533)
5 25 36 58 60 (2554)
25 40 56 58 60 (2644)
7 25 36 58 62 (2555)
3 5 36 40 52 (2516)
7 25 52 56 58 (2593)
3 34 40 58 66 (2563)
3 34 40 58 62 (2588)
7 9 29 52 58 (2746)
7 25 36 58 60 (2648)
3 34 40 58 60 (2650)
7 9 29 52 56 (2646)
3 36 40 56 58 (2586)
5 56 58 60 66 (2663)
5 40 60 62 66 (2712)
5 56 58 60 62 (2676)
5 34 36 48 66 (2579)
9 56 58 60 66 (2592)
5 9 40 56 60 (2510)
9 34 52 58 66 (2601)
7 25 48 58 60 (2613)
25 29 34 56 60 (2536)
3 5 7 40 60 (2514)
34 36 40 60 66 (2768)
5 36 48 62 66 (2551)
9 34 52 58 62 (2629)
7 52 56 60 66 (2744)
3 9 29 40 52 (2543)
7 36 40 58 66 (2784)
9 34 52 58 60 (2707)
3 5 7 40 52 (2538)
7 25 48 58 62 (2510)
5 34 36 48 62 (2569)
3 5 7 40 58 (2547)
5 34 36 48 60 (2655)
7 36 40 58 62 (2828)
42 52 58 60 66 (2605)
7 25 48 58 66 (2505)
29 40 44 58 60 (2526)
7 36 40 58 60 (2908)
5 34 52 58 62 (2769)
5 34 52 58 60 (2834)
42 52 58 60 62 (2566)
5 34 52 58 66 (2743)
7 34 56 60 66 (2637)
3 7 34 58 60 (2598)
5 7 9 34 58 (2516)
5 7 48 58 60 (2650)
5 7 9 34 52 (2509)
7 34 56 60 62 (2653)
25 29 34 56 58 (2563)
5 25 48 52 60 (2510)
34 36 42 52 58 (2508)
7 52 56 60 62 (2772)
7 29 40 56 60 (2843)
3 7 29 34 36 (2539)
9 29 36 60 66 (2614)
7 29 40 56 62 (2800)
34 36 40 60 62 (2760)
5 29 48 60 66 (2680)
25 34 40 52 66 (2556)
9 56 58 60 62 (2618)
9 34 36 48 60 (2527)
5 29 48 60 62 (2645)
5 7 48 58 66 (2574)
3 52 56 60 66 (2564)
3 7 34 58 66 (2511)
9 29 36 60 62 (2608)
5 7 48 58 62 (2564)
7 29 40 56 66 (2722)
3 52 56 60 62 (2590)
3 7 34 58 62 (2526)
29 34 40 52 62 (2888)
25 40 52 58 66 (2680)
29 34 40 52 64 (2525)
29 34 40 52 66 (2852)
5 25 48 52 58 (2527)
5 40 52 62 66 (2701)
29 48 56 58 62 (2725)
29 40 52 58 66 (2977)
36 40 48 56 58 (2786)
29 40 52 58 64 (2613)
5 34 48 56 58 (2552)
7 29 60 62 66 (2773)
29 40 52 58 62 (3019)
29 48 56 58 60 (2797)
3 5 40 52 60 (2576)
3 5 40 52 62 (2524)
29 40 42 60 62 (2552)
9 34 36 48 52 (2536)
7 34 48 62 66 (2509)
3 5 40 52 66 (2501)
3 7 29 34 40 (2609)
29 40 42 60 66 (2588)
7 29 40 56 58 (2886)
29 42 52 58 62 (2580)
9 34 36 48 58 (2543)
29 42 52 58 60 (2671)
36 40 48 56 62 (2700)
5 36 52 60 62 (2705)
29 42 52 58 66 (2597)
5 40 58 62 66 (2712)
36 40 48 56 60 (2761)
48 56 60 62 66 (2607)
5 36 52 60 66 (2724)
9 36 52 60 66 (2610)
5 34 48 56 60 (2528)
3 5 7 52 58 (2559)
9 36 52 60 62 (2606)
5 34 36 48 52 (2671)
9 40 58 62 66 (2585)
5 48 52 56 58 (2614)
3 9 29 40 58 (2549)
36 40 48 56 66 (2649)
5 34 36 48 58 (2679)
5 34 36 48 56 (2527)
29 40 52 58 60 (3099)
3 7 29 34 58 (2632)
3 7 29 34 56 (2514)
29 48 56 58 66 (2689)
3 7 29 34 52 (2625)
9 40 52 62 66 (2577)
3 9 29 40 60 (2523)
25 40 52 58 60 (2796)
5 9 40 56 58 (2548)
25 40 52 58 62 (2713)
34 48 58 62 66 (2618)
3 5 7 52 60 (2525)
3 36 40 48 62 (2516)
5 29 36 52 62 (2744)
5 29 36 52 66 (2720)
9 29 36 52 66 (2606)
3 36 40 48 60 (2599)
9 29 36 52 62 (2637)
25 40 48 56 58 (2560)
9 36 56 60 62 (2521)
3 36 40 48 66 (2513)
9 29 36 52 60 (2724)
5 36 56 60 66 (2567)
34 36 56 58 62 (2694)
3 7 29 34 66 (2511)
3 29 40 58 60 (2780)
7 52 60 62 66 (2766)
34 36 56 58 66 (2632)
9 36 40 52 56 (2628)
3 7 29 34 62 (2526)
9 36 40 52 58 (2746)
3 7 29 34 60 (2598)
5 36 56 60 62 (2579)
40 42 52 56 58 (2548)
34 36 56 58 60 (2741)
5 29 36 52 60 (2811)
5 29 40 52 66 (2797)
3 36 40 48 52 (2611)
5 29 40 52 62 (2828)
5 29 36 52 56 (2694)
9 29 36 52 56 (2642)
5 29 36 52 58 (2855)
9 29 36 52 58 (2760)
5 29 40 52 60 (2888)
9 36 40 52 60 (2708)
3 36 40 48 58 (2620)
9 36 40 52 62 (2633)
9 36 40 52 66 (2589)
9 36 48 60 66 (2541)
5 29 40 52 56 (2771)
7 25 34 40 60 (2553)
7 9 29 60 62 (2594)
7 9 29 60 66 (2601)
5 29 36 40 60 (2802)
5 29 36 40 62 (2742)
9 29 40 62 66 (2581)
5 29 36 40 66 (2711)
5 7 34 52 66 (2639)
9 29 36 40 66 (2593)
5 7 34 52 62 (2663)
9 29 36 40 62 (2633)
5 29 40 52 58 (2931)
5 7 34 52 60 (2729)
9 29 36 40 60 (2710)
5 7 9 58 60 (2534)
7 25 34 40 52 (2572)
25 40 48 56 60 (2544)
36 52 56 58 60 (2871)
7 25 34 40 58 (2579)
5 29 36 40 52 (2835)
9 29 36 40 58 (2746)
25 34 58 60 62 (2571)
5 7 34 52 58 (2773)
5 29 36 40 56 (2679)
9 29 36 40 56 (2625)
5 7 34 52 56 (2641)
9 29 36 40 52 (2739)
5 29 36 40 58 (2845)
25 34 58 60 66 (2584)
7 29 40 48 56 (2704)
25 29 34 36 58 (2641)
3 34 36 40 60 (2557)
7 29 40 48 58 (2859)
5 29 36 56 66 (2563)
3 29 34 58 60 (2672)
7 36 58 62 66 (2680)
3 29 34 58 62 (2600)
34 40 42 58 60 (2563)
7 25 29 48 60 (2608)
25 40 48 52 56 (2557)
25 29 34 36 52 (2634)
3 29 34 58 66 (2584)
7 25 29 48 62 (2504)
9 34 36 52 56 (2535)
7 29 40 48 52 (2849)
7 25 29 48 66 (2502)
9 34 48 58 60 (2552)
25 29 48 52 66 (2603)
25 40 48 52 58 (2712)
25 36 40 62 66 (2519)
29 34 56 58 60 (2834)
5 29 36 56 60 (2654)
3 34 36 52 58 (2606)
34 36 40 52 56 (2759)
5 29 36 56 62 (2618)
5 29 36 56 58 (2698)
36 52 58 62 66 (2784)
5 29 34 36 40 (2769)
36 48 52 60 62 (2814)
9 34 36 40 56 (2520)
9 34 36 40 58 (2635)
25 52 58 62 66 (2590)
25 29 34 36 66 (2515)
7 40 58 60 62 (2881)
25 29 34 36 60 (2614)
29 34 56 58 62 (2787)
25 29 34 36 62 (2528)
5 36 52 56 66 (2562)
7 40 58 60 66 (2881)
29 34 56 58 66 (2725)
25 29 48 52 60 (2709)
5 36 52 56 60 (2654)
5 36 52 56 62 (2620)
25 29 48 52 62 (2605)
5 36 40 62 66 (2615)
25 29 48 52 56 (2570)
25 29 48 52 58 (2726)
3 7 29 58 66 (2630)
3 7 29 58 60 (2731)
5 29 34 36 48 (2676)
3 7 29 58 62 (2650)
3 34 48 58 60 (2517)
9 34 36 40 60 (2599)
9 34 36 40 62 (2530)
25 34 40 56 60 (2518)
5 29 34 36 52 (2779)
5 29 34 36 58 (2787)
5 29 34 36 56 (2635)
9 34 36 40 48 (2524)
25 29 40 60 62 (2684)
3 7 56 60 62 (2520)
3 48 52 58 62 (2548)
3 48 52 58 60 (2641)
25 29 40 60 66 (2683)
25 34 40 56 58 (2544)
9 34 36 40 52 (2628)
3 48 52 58 66 (2554)
9 48 52 58 60 (2663)
25 36 52 56 60 (2599)
34 36 40 52 58 (2910)
5 7 29 36 60 (2714)
5 29 34 36 62 (2677)
25 29 34 36 48 (2578)
9 48 52 58 62 (2559)
29 40 56 62 66 (2733)
3 34 36 40 52 (2583)
5 29 34 36 66 (2652)
9 48 52 58 66 (2558)
5 7 29 36 62 (2647)
25 29 34 36 40 (2619)
5 7 29 36 66 (2624)
25 40 48 52 66 (2587)
5 29 34 36 60 (2743)
25 40 48 52 60 (2696)
3 34 36 40 58 (2590)
25 36 52 56 62 (2539)
25 40 48 52 62 (2602)
5 29 56 62 66 (2584)
5 7 40 58 62 (2734)
5 52 56 62 66 (2583)
34 36 40 52 60 (2867)
9 29 40 58 66 (2689)
5 7 40 58 66 (2702)
34 36 40 52 62 (2795)
9 29 40 58 60 (2806)
7 56 58 62 66 (2658)
9 29 40 58 62 (2730)
34 36 40 52 66 (2759)
5 7 40 58 60 (2793)
5 9 40 52 60 (2619)
9 36 48 52 60 (2638)
5 9 40 52 62 (2562)
36 40 42 60 66 (2508)
9 29 34 60 66 (2608)
34 36 48 56 62 (2582)
9 36 48 52 62 (2533)
9 29 34 60 62 (2598)
34 36 48 56 60 (2650)
9 36 48 52 66 (2533)
3 36 48 52 60 (2615)
5 25 58 60 62 (2523)
29 40 58 62 64 (2509)
34 36 48 56 58 (2674)
5 29 34 48 52 (2693)
29 40 58 62 66 (2869)
3 36 48 52 62 (2522)
9 36 48 52 58 (2656)
7 25 29 36 48 (2607)
5 29 34 48 56 (2549)
3 36 48 52 66 (2528)
5 29 34 48 58 (2701)
7 40 56 60 66 (2726)
7 58 60 62 66 (2777)
5 9 40 52 66 (2530)
5 34 48 60 62 (2571)
5 25 58 60 66 (2539)
3 29 52 56 58 (2700)
7 25 29 36 40 (2645)
5 34 48 60 66 (2605)
5 34 56 58 60 (2690)
5 34 56 58 62 (2656)
7 40 56 60 62 (2763)
5 52 58 62 66 (2714)
3 9 29 52 60 (2539)
29 36 48 56 58 (2796)
7 40 52 56 58 (2888)
9 36 48 52 56 (2538)
29 34 48 60 66 (2734)
5 25 29 58 60 (2616)
7 25 29 36 56 (2526)
7 25 29 36 58 (2670)
3 29 52 56 62 (2623)
5 29 34 48 66 (2601)
5 25 29 58 62 (2546)
29 34 48 60 62 (2702)
3 29 52 56 60 (2666)
34 36 48 56 66 (2556)
5 7 29 48 52 (2662)
5 25 29 58 66 (2535)
5 7 29 48 58 (2672)
3 36 48 52 56 (2507)
5 7 29 48 56 (2523)
3 36 48 52 58 (2637)
3 5 40 52 58 (2609)
5 29 34 48 60 (2677)
7 25 29 36 52 (2661)
3 9 29 52 58 (2565)
5 34 56 58 66 (2599)
5 29 34 48 62 (2591)
3 29 52 56 66 (2564)
29 36 48 56 66 (2664)
29 36 48 56 62 (2699)
7 9 52 60 62 (2586)
29 36 48 56 60 (2772)
7 36 56 62 66 (2561)
36 40 48 52 56 (2782)
25 34 52 60 66 (2577)
25 34 52 60 62 (2563)
29 36 42 48 52 (2521)
5 7 29 48 62 (2561)
7 25 29 36 66 (2530)
5 25 40 48 58 (2516)
5 7 29 48 60 (2648)
36 40 48 52 58 (2949)
5 7 29 48 66 (2573)
7 25 40 58 60 (2689)
36 48 52 60 66 (2836)
25 29 34 48 60 (2579)
7 25 40 58 62 (2606)
7 9 52 60 66 (2593)
7 25 29 36 60 (2643)
5 25 40 48 52 (2507)
7 25 40 58 66 (2575)
7 25 29 36 62 (2549)
7 29 40 48 66 (2730)
7 25 29 48 58 (2625)
5 40 48 60 66 (2664)
3 36 52 58 60 (2703)
7 29 58 60 62 (2889)
3 36 52 58 62 (2622)
9 34 36 52 62 (2532)
7 29 58 60 66 (2901)
7 29 40 48 60 (2836)
5 29 40 60 66 (2808)
3 36 52 58 66 (2601)
36 40 48 52 66 (2812)
9 34 36 52 60 (2611)
7 29 40 48 62 (2735)
7 25 29 48 52 (2616)
29 36 42 48 60 (2515)
36 40 48 52 60 (2924)
9 34 36 52 66 (2505)
36 40 48 52 62 (2825)
9 34 36 52 58 (2647)
3 34 36 52 60 (2572)
29 36 42 48 58 (2526)
3 34 36 52 62 (2500)
5 29 40 60 62 (2795)
25 29 34 48 58 (2596)
36 40 52 58 62 (2937)
5 9 40 52 56 (2544)
25 48 52 56 60 (2564)
36 40 52 58 64 (2548)
25 29 34 48 52 (2589)
5 9 56 58 60 (2526)
36 40 52 58 60 (3015)
5 9 40 52 58 (2657)
25 29 40 52 58 (2811)
25 29 36 48 62 (2596)
25 29 40 52 56 (2656)
25 29 36 48 60 (2700)
36 40 52 58 66 (2888)
5 7 34 60 66 (2648)
9 36 48 56 60 (2524)
5 7 34 60 62 (2628)
3 7 58 60 66 (2630)
34 36 48 52 60 (2797)
25 29 36 48 66 (2594)
3 7 58 60 62 (2617)
25 48 52 56 58 (2581)
34 36 48 52 56 (2670)
34 48 56 58 62 (2608)
34 48 56 58 60 (2675)
25 29 52 58 66 (2696)
34 48 56 58 66 (2581)
29 36 58 60 62 (2904)
34 36 48 52 58 (2821)
25 29 52 58 62 (2716)
29 36 58 60 66 (2915)
25 29 52 58 60 (2809)
5 40 48 60 62 (2637)
25 40 48 60 66 (2597)
25 29 36 48 58 (2717)
9 36 48 56 58 (2542)
25 29 36 48 56 (2555)
25 29 36 48 52 (2708)
7 29 56 60 66 (2745)
7 29 36 42 58 (2510)
34 36 48 52 62 (2695)
7 29 56 60 62 (2770)
34 36 48 52 66 (2703)
5 40 56 58 62 (2710)
5 25 40 48 60 (2500)
3 29 40 62 66 (2576)
5 40 56 58 60 (2736)
7 29 36 42 52 (2505)
5 40 56 58 66 (2644)
25 40 48 60 62 (2595)
3 36 40 52 66 (2577)
3 5 52 58 66 (2521)
3 36 40 52 62 (2607)
3 36 40 52 60 (2678)
25 40 60 62 66 (2585)
5 29 34 56 66 (2596)
36 42 58 60 66 (2523)
7 29 34 62 66 (2655)
5 29 34 56 62 (2652)
5 29 34 56 60 (2687)
29 34 52 58 66 (2872)
25 29 48 60 66 (2613)
3 5 52 58 62 (2537)
3 5 52 58 60 (2596)
25 29 48 60 62 (2598)
25 29 40 52 66 (2673)
25 29 40 52 62 (2701)
29 34 52 58 60 (2981)
25 29 40 52 60 (2785)
36 52 56 62 66 (2653)
29 34 52 58 62 (2900)
29 34 52 58 64 (2525)
5 29 34 56 58 (2731)
3 36 40 52 58 (2711)
3 36 40 52 56 (2582)
5 40 52 58 66 (2800)
7 34 40 62 66 (2645)
5 34 60 62 66 (2647)
29 34 40 60 66 (2861)
5 7 29 36 52 (2748)
5 7 29 36 58 (2758)
9 34 36 56 58 (2539)
29 34 40 60 62 (2853)
5 7 29 36 56 (2609)
5 34 40 56 66 (2582)
5 34 40 56 60 (2673)
5 34 40 56 62 (2645)
9 48 56 58 60 (2549)
29 40 52 62 64 (2508)
5 9 52 58 62 (2572)
5 7 29 56 66 (2571)
3 5 40 60 66 (2510)
29 40 52 62 66 (2858)
5 9 52 58 66 (2546)
36 40 56 58 66 (2725)
7 25 29 56 58 (2591)
9 40 48 58 62 (2555)
9 36 40 48 66 (2520)
5 7 29 56 62 (2625)
3 5 40 60 62 (2500)
29 48 60 62 66 (2736)
9 40 48 58 60 (2649)
5 7 29 56 60 (2661)
36 40 56 58 62 (2812)
25 34 40 48 60 (2561)
9 40 48 58 66 (2545)
9 36 40 48 62 (2529)
5 40 52 58 62 (2835)
5 9 52 58 60 (2635)
9 36 40 48 60 (2624)
5 40 52 58 60 (2892)
34 36 40 56 58 (2763)
36 40 48 60 66 (2823)
34 42 52 58 60 (2572)
5 7 29 36 40 (2738)
9 36 40 48 58 (2642)
34 42 52 58 66 (2501)
5 7 29 36 48 (2647)
7 9 56 60 62 (2519)
25 34 40 48 58 (2577)
5 34 40 56 58 (2716)
36 48 58 60 66 (2846)
34 48 52 58 60 (2822)
9 36 40 48 56 (2521)
34 48 52 58 62 (2721)
36 48 58 60 62 (2825)
5 29 58 62 66 (2721)
9 36 40 48 52 (2635)
36 40 48 60 62 (2810)
34 48 52 58 66 (2728)
25 34 40 48 52 (2570)
7 29 52 60 62 (2878)
36 40 42 52 60 (2577)
5 9 40 60 62 (2531)
5 34 48 52 56 (2548)
36 40 42 52 66 (2502)
5 34 48 52 58 (2696)
5 9 40 60 66 (2538)
29 56 58 60 66 (2837)
5 36 52 56 58 (2700)
29 56 58 60 62 (2864)
29 34 36 48 62 (2700)
29 34 36 48 66 (2708)
7 29 52 60 66 (2891)
5 34 48 52 60 (2672)
5 34 48 52 62 (2586)
29 34 36 48 60 (2802)
29 36 52 60 66 (2905)
36 40 42 52 58 (2602)
29 36 52 60 62 (2893)
9 25 52 58 60 (2512)
5 34 48 52 66 (2596)
34 36 40 56 60 (2720)
29 34 36 48 58 (2826)
7 25 29 56 60 (2564)
7 29 36 62 66 (2676)
7 25 29 56 62 (2504)
34 36 40 56 62 (2682)
3 7 52 60 66 (2621)
7 9 58 60 66 (2600)
5 48 52 60 62 (2639)
34 36 40 56 66 (2612)
3 7 52 60 62 (2608)
29 34 36 48 52 (2818)
7 9 58 60 62 (2594)
5 48 52 60 66 (2673)
29 34 36 48 56 (2671)
52 56 58 60 62 (2872)
7 25 40 52 60 (2680)
25 36 48 60 62 (2591)
7 25 40 52 62 (2596)
52 56 58 60 66 (2840)
7 9 34 60 66 (2502)
9 36 56 58 60 (2615)
7 36 56 58 60 (2776)
5 25 40 52 62 (2527)
7 36 56 58 62 (2724)
7 29 42 52 58 (2592)
5 29 42 52 58 (2549)
25 36 48 60 66 (2602)
5 25 40 52 60 (2591)
7 9 52 56 58 (2645)
5 25 40 52 66 (2510)
7 36 56 58 66 (2651)
29 36 48 60 62 (2812)
9 36 56 58 62 (2560)
29 36 48 60 66 (2839)
7 25 40 52 66 (2566)
29 34 36 58 66 (2784)
29 36 60 62 66 (2787)
29 34 36 58 62 (2812)
29 34 36 58 60 (2893)
5 9 34 58 62 (2520)
5 9 34 58 60 (2584)
7 9 52 56 62 (2551)
48 52 60 62 66 (2733)
7 9 52 56 60 (2609)
7 34 40 60 62 (2747)
5 34 40 60 62 (2723)
9 40 48 56 58 (2546)
34 36 48 60 62 (2680)
5 34 40 60 66 (2735)
9 34 40 60 66 (2591)
34 36 48 60 66 (2712)
9 34 40 60 62 (2590)
5 40 48 56 58 (2599)
7 34 40 60 66 (2756)
9 34 58 62 66 (2500)
29 34 42 60 66 (2503)
25 29 36 62 66 (2526)
3 40 48 56 58 (2512)
25 36 40 56 58 (2605)
7 34 58 62 66 (2657)
5 34 58 62 66 (2647)
25 34 36 58 66 (2518)
40 52 60 62 66 (2866)
3 34 40 60 62 (2555)
9 40 48 56 60 (2528)
3 34 40 60 66 (2563)
7 40 48 56 62 (2624)
40 48 56 62 66 (2593)
7 25 36 60 66 (2534)
7 40 48 56 60 (2687)
5 40 48 56 60 (2574)
7 40 48 56 66 (2578)
25 34 36 58 62 (2532)
7 25 36 60 62 (2528)
25 34 36 58 60 (2617)
34 48 56 60 66 (2582)
29 36 40 56 66 (2718)
5 9 29 40 52 (2654)
9 25 40 52 58 (2513)
29 36 40 56 60 (2840)
34 48 56 60 62 (2584)
5 40 48 56 62 (2527)
29 36 40 56 62 (2797)
34 36 60 62 66 (2669)
5 36 56 58 66 (2566)
5 9 29 40 56 (2545)
3 36 56 58 60 (2577)
5 29 42 52 60 (2526)
36 48 56 60 62 (2688)
7 9 48 52 60 (2547)
3 36 56 58 62 (2534)
5 36 56 58 62 (2625)
5 25 40 52 58 (2617)
5 25 52 60 62 (2513)
7 29 42 52 60 (2569)
36 48 56 60 66 (2672)
5 36 56 58 60 (2658)
29 36 40 56 58 (2883)
5 25 52 60 66 (2530)
7 25 40 52 56 (2569)
7 40 48 56 58 (2710)
7 25 40 52 58 (2706)
7 25 52 60 62 (2584)
25 36 40 56 60 (2579)
7 25 52 60 66 (2590)
25 36 40 56 62 (2529)
29 42 58 60 66 (2603)
36 40 60 62 66 (2780)
34 56 58 60 66 (2729)
5 9 29 40 60 (2625)
5 9 29 40 62 (2566)
5 9 29 40 66 (2536)
34 56 58 60 62 (2747)
5 7 29 34 36 (2684)
3 7 52 56 58 (2626)
5 9 29 40 58 (2661)
34 52 56 60 66 (2725)
36 52 56 60 66 (2744)
3 9 29 58 60 (2545)
36 56 58 60 62 (2780)
36 52 56 60 62 (2775)
7 9 36 56 60 (2517)
36 56 58 60 66 (2748)
29 42 58 60 62 (2562)
5 9 29 52 56 (2557)
34 52 56 60 62 (2742)
5 9 29 52 58 (2670)
7 9 36 56 58 (2553)
3 7 34 60 66 (2511)
3 7 52 56 60 (2592)
3 7 52 56 62 (2549)
40 48 52 56 58 (2807)
3 9 40 58 60 (2523)
34 40 60 62 66 (2754)
3 7 40 48 60 (2551)
25 40 52 60 66 (2681)
25 29 52 62 66 (2582)
25 40 52 60 62 (2686)
40 48 52 56 62 (2721)
40 48 52 56 66 (2670)
29 40 52 60 62 (2975)
29 40 52 60 66 (2978)
40 48 52 56 60 (2782)
3 7 36 48 58 (2572)
29 40 52 60 64 (2570)
